date_mm_dd_yyyy,route_shift,route_name,building_name,any_birds_found_on_route_shift,building_face_direction,species,found_dead_alive
2019-09-16,AM,South Quad,Temple Hoyne Buell Hall_339,Yes,East,Black-and-white Warbler_Mniotilta varia,Dead
2019-09-16,AM,North Quad,Beckman Institute_228,Yes,North,Scarlet Tanager_Piranga olivacea,Dead
2019-09-16,AM,North Quad,Grainger Engineering Library Information Center_324,Yes,South,Common Yellowthroat_Geothlypis trichas,Dead
2019-09-16,AM,North Quad,Electrical and Computer Engineering_409,Yes,South,Magnolia Warbler_Setophaga magnolia,Dead
2019-09-16,AM,North Quad,Electrical and Computer Engineering_409,Yes,North,Swainson's Thrush_Catharus ustulatus,Dead
2019-09-16,AM,North Quad,Electrical and Computer Engineering_409,Yes,South,Black-and-white Warbler_Mniotilta varia,Dead
2019-09-16,AM,North Quad,Beckman Institute_228,Yes,North,Swainson's Thrush_Catharus ustulatus,Alive
2019-09-16,AM,North Quad,Beckman Institute_228,Yes,North,Unidentifiable,Dead
2019-09-16,AM,North Quad,Beckman Institute_228,Yes,North,Unidentifiable,Dead
2019-09-16,AM,North Quad,Grainger Engineering Library Information Center_324,Yes,North,Unidentifiable,Dead
2019-09-16,PM,North Quad,Beckman Institute_228,Yes,North,Tennessee Warbler_Oreothlypis peregrina,Dead
2019-09-16,PM,North Quad,Beckman Institute_228,Yes,North,Northern Parula_Setophaga americana,Dead
2019-09-16,PM,North Quad,Beckman Institute_228,Yes,South,Magnolia Warbler_Setophaga magnolia,Dead
2019-09-16,PM,North Quad,Beckman Institute_228,Yes,South,Magnolia Warbler_Setophaga magnolia,Dead
2019-09-16,PM,North Quad,Electrical and Computer Engineering_409,Yes,South,Tennessee Warbler_Oreothlypis peregrina,Dead
2019-09-16,PM,North Quad,Beckman Institute_228,Yes,South,NA,Dead
2019-09-16,PM,North Quad,Beckman Institute_228,Yes,South,American Redstart_Setophaga ruticilla,Dead
2019-09-16,PM,North Quad,Beckman Institute_228,Yes,North,Unidentifiable,Dead
2019-09-16,PM,North Quad,Beckman Institute_228,Yes,North,Unidentifiable,Dead
2019-09-16,PM,North Quad,Beckman Institute_228,Yes,South,Unidentifiable,Dead
2019-09-16,PM,North Quad,Beckman Institute_228,Yes,South,Swainson's Thrush_Catharus ustulatus,Dead
2019-09-16,PM,North Quad,Beckman Institute_228,Yes,South,Unidentifiable,Dead
2019-09-16,PM,North Quad,Beckman Institute_228,Yes,South,Swainson's Thrush_Catharus ustulatus,Dead
2019-09-16,PM,North Quad,Beckman Institute_228,Yes,South,Unidentifiable,Dead
2019-09-16,PM,North Quad,Beckman Institute_228,Yes,South,Unidentifiable,Dead
2019-09-16,PM,North Quad,Beckman Institute_228,Yes,South,Unidentifiable,Dead
2019-09-16,PM,North Quad,Beckman Institute_228,Yes,South,Unidentifiable,Dead
2019-09-16,PM,North Quad,Beckman Institute_228,Yes,South,Tennessee Warbler_Oreothlypis peregrina,Dead
2019-09-16,PM,North Quad,Beckman Institute_228,Yes,South,Unidentifiable,Dead
2019-09-16,PM,North Quad,Coordinated Science Laboratory_148,Yes,West,Unidentifiable,Dead
2019-09-16,PM,North Quad,Coordinated Science Laboratory_148,Yes,West,Unidentifiable,Dead
2019-09-16,PM,North Quad,Coordinated Science Laboratory_148,Yes,West,Tennessee Warbler_Oreothlypis peregrina,Dead
2019-09-16,PM,North Quad,Coordinated Science Laboratory_148,Yes,West,Golden-winged Warbler_Vermivora chrysoptera,Dead
2019-09-16,PM,North Quad,Electrical and Computer Engineering_409,Yes,East,Unidentifiable,Dead
2019-09-16,PM,South Quad,Agricultural Engineering Sciences Building_8,Yes,West,Red-eyed Vireo_Vireo olivaceus,Dead
2019-09-16,PM,South Quad,Temple Hoyne Buell Hall_339,Yes,North,Ovenbird_Seiurus aurocapilla,Dead
2019-09-17,AM,South Quad,Temple Hoyne Buell Hall_339,Yes,West,Blackpoll Warbler_Setophaga striata,Dead
2019-09-17,AM,South Quad,Temple Hoyne Buell Hall_339,Yes,West,Ovenbird_Seiurus aurocapilla,Dead
